,threshold,YPL025C,YIL054W,YKR040C,YJL028W,LCL1,YMR052C-A,YKL153W,YDR417C,YNL150W,YPR050C,Q0010,ISU1,Q0017,ITR2,IBA57,DBR1,YGL165C,YJR087W,YHR180W-A,YIL071W-A,YML083C,PAU5,YMR317W,PAU17,NST1,BRP1,UTR5,YPL062W,YDL050C,YLR198C,YDL114W,Q0032,Q0297,DST1,DAS2,RPL4A,YCL019W,YJR027W,YGR109W-B,HAP1,YDR098C-B,YPR010C-A,YMR304C-A,YNL319W,YPR136C,BUD26,RRT16,IRC13,YOR055W,YCL046W,YMR082C,YER097W,PDR5,PDR15,YHR095W,CTR1,YPR123C,COX6,COX5A,NDE1,ARP3,VPS53,RET2,CPA2,MCM6,RPL28,RPL8A,RPS26B,SAR1,RPP2A,BOI2,RAD14,YMR035W,YNR040W,IMD3,RIB7,REC8,MIF2,YNR062C,YDL186W,YNL162W-A,MPC1,RPL9B,YGR182C,COX15,RRP15,ECM1,RRP6,MMM1,CMD1,YBR113W,MKK1,RRP40,PEA2,POP2,BCD1,RVB1,BI3,COX16,PEP7,MSB4,NSP1,MRX3,BI2,RPB2,RPB8,RPO31,RPC37,MED1,TSR4,LSM12,SCO1,FYV12,JSN1,FMC1,AHA1,TPI1,ENO1,ERR3,YDJ1,HSP78,TPS1,YJR096W,PPT1,RGI1,GRE1,YNL195C,YDR248C,ROK1,PRM15,VPS70,LSC1,MDH1,MDH3,IDP3,YMR31,TIM50,TIM23,CYB2,RPN7,PRE7,PRE4,POR1,VMS1,PPQ1
0,100,0.0010227803317991453,0.0010066011861672144,0.0006261701450434165,0.0005727004884056785,0.00046970509817734164,0.0002753341511747736,4.4756008810313064e-05,4.463702066553356e-05,2.740275499392853e-05,3.192560260284183e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200,0.0016675889427192352,,0.0006445154109895701,,,0.0004049774583504206,5.695265634507035e-05,4.9157197481690726e-05,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.002501051058494087,0.0016166222224676802,0.0013287650187139822,2.4968169213307915e-05,5.631091316307258e-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,300,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007159386085531483,,,,,,,,,,,,,,,,,,,,,,0.0030943051726527847,0.0023861956437361783,0.0014917008033196646,0.00122121604560402,0.0008820609860664358,0.0008670278691098942,0.0008327198851094223,0.0007678427230045545,0.0007173705893726821,0.0007015015096825694,0.0006991471125530384,0.0006332267733883379,0.0006233988233348703,0.000570110526995301,0.00038907360778924984,0.00031752409106924694,0.0003067616866491712,0.00015868430968412876,0.0001430667216190387,0.00013470800572503857,7.251296577424024e-05,2.3585319552864498e-05,1.254557919748214e-05,7.772166833355488e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019660591175420074,,,,,,,,,,,,,,,,,,,,,,0.019263698604164565,0.01876875591011837,,0.001814443211183448,,,,,0.001971577590224621,0.0018320649248386863,,,0.0017178043089075713,,,0.0002417898211318549,0.00032665562084980995,,,,,,,,0.004795574619489056,0.0019145647400790678,0.0016824601172788693,0.0012950172987102639,0.0011879271869801801,0.0009894203331908102,0.0008595305648578058,0.0008198846798290311,0.000810103204292354,0.0006610685371656384,0.0005140053743027217,0.0004802532164620718,0.0004184971779925355,0.0002872043105479768,0.00022782946236457355,0.00016202186867946266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032416808969553657,,,,,,,,,,,,,,,,,,,,,,0.012306841558498068,0.011387735863102131,0.00783063639401244,,0.0012119308562085773,0.0016172394154094925,,,0.003225700767756541,0.003146263218477784,,,0.002851738473470319,,,,0.0001288863877880564,,,,,,,,,0.0031176740191090637,,0.0001892927714796405,0.0020242045574545868,0.0015250619927420015,0.0014518832382653783,0.00016028098531834322,,,,0.000745076902775271,,0.00013236417751859506,0.00031210266762641083,,0.0040314448559229344,0.003711897975914486,0.0006099254009365996,0.0003739643682206924,0.00024301445003192194,9.300875704287403e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038241993794728307,,,,,,,,,,,,,,,,,,,,,,0.019002550691320036,0.01719286950553183,0.015982859372181257,,,,,,,0.0037130157426165785,,,0.0034768289073584453,,,,0.00010748648858930723,,,,,,,,,0.003585954035014003,,,0.0023071303670089754,0.0015925563302536098,0.0016044817987450025,,,,,0.0008646877528127303,,,,,,0.007875898369641499,,,,,0.007859980017697898,0.0036475021372408263,0.003347875084156554,0.0016344395049254126,0.0012210435838676877,0.0011175922825442126,0.00045755791466933526,0.0001011133481204894,7.146591112519727e-05,2.2951231021038983e-05,4.197431429620644e-06,1.426547714463591e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027696237758281068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002706118943231722,,,0.002560576052319812,,,,,,,,,,,,,0.002601259745672189,,,0.0013783677901508234,0.0007627848514728308,0.0009617187809328413,,,,,0.0005552594612343186,,,0.0013555753355663444,,,,,,,,,,,,,,,,,,,,0.03283520559062165,0.032586094370916925,0.029894111913164798,0.028689691561440914,0.02808863141823162,0.027122974195920094,0.01475854207736123,0.01001289848957986,0.009793739156473625,0.008345425665373036,0.0034195424488687692,0.00324628742392662,0.0018211953934528762,0.0017393867773773893,0.0016137149433637118,8.715314216647138e-06,,,,,,,,,,,,,,
8,900,,,,,,,,2.03641500176779e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029901856854845778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029365690366697362,,,0.0029151878928139327,,,,,,,,,,,,,0.002938717114393491,,,0.0021449815970387242,0.0010440252204588223,,0.014800435904777216,,,,,,,,,,,,,,,,,,,,,4.1706202691014875e-05,,,,2.2661827393955855e-05,,,,,,,,,,,,,,,0.002609745087476114,,,0.06735148115143733,0.0607282241621391,0.0607282241621391,0.03599377061315752,0.027268385004498,0.01966634110758093,0.019486173026726474,0.016183299515221638,0.011664379064339694,0.011542896166509154,0.01132670143899849,0.00901953722490907,0.00033340925381143715,2.069696675015482e-05
